LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
24,2019-02-27,18:46:04.301,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1198 [5b173917-a45b-45c4-8e89-bf5758194d46] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 syncState changing to IN_SYNC,8c79f90f,<*> <*> <*> <*> <*> <*>
25,2019-02-27,18:46:04.301,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [5b173917-a45b-45c4-8e89-bf5758194d46] Global ownership fence electrified,8c79f90f,<*> <*> <*> <*> <*> <*>
26,2019-02-27,18:46:04.301,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1279 [5b173917-a45b-45c4-8e89-bf5758194d46] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to UNCERTAIN,8c79f90f,<*> <*> <*> <*> <*> <*>
27,2019-02-27,18:46:04.314,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1298 [5b173917-a45b-45c4-8e89-bf5758194d46] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to SECONDARY,8c79f90f,<*> <*> <*> <*> <*> <*>
28,2019-02-27,18:46:04.315,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1676 Hive 5b173917-a45b-45c4-8e89-bf5758194d46 with HmsObjId  is HA compliant,8c79f90f,<*> <*> <*> <*> <*> <*>
29,2019-02-27,18:46:04.315,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1811 [5b173917-a45b-45c4-8e89-bf5758194d46] Replica set changed from 1|36:a625d351-ee43-4269-9bd9-28325a20cd78| to 2|36:5b2ac51c-3875-41a5-948e-9897c919e611|36:a625d351-ee43-4269-9bd9-28325a20cd78|,8c79f90f,<*> <*> <*> <*> <*> <*>
30,2019-02-27,18:46:04.316,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [5b173917-a45b-45c4-8e89-bf5758194d46] Global ownership fence disabled,8c79f90f,<*> <*> <*> <*> <*> <*>
31,2019-02-27,18:46:05.308,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1198 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 syncState changing to IN_SYNC,8c79f90f,<*> <*> <*> <*> <*> <*>
32,2019-02-27,18:46:05.308,INFO,[control.hive.hivecontroller],hivecontroller.cpp:1348 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Global ownership fence electrified,8c79f90f,<*> <*> <*> <*> <*> <*>
33,2019-02-27,18:46:05.308,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1279 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to UNCERTAIN,8c79f90f,<*> <*> <*> <*> <*> <*>
34,2019-02-27,18:46:05.321,INFO,[control.hive.hivecontroller],hivecontrollerprimaryrole.cpp:1298 [4366eca1-5f1c-44ae-a497-8992b5d91b6b] Subordinate 5b2ac51c-3875-41a5-948e-9897c919e611 role changing to SECONDARY,8c79f90f,<*> <*> <*> <*> <*> <*>
