LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
5536,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1661 Task 4fb054ae-e723-446d-937c-23aa3926255e Response:,217fafe9,taskmanagerservice.cpp:1661 Task 4fb054ae-e723-446d-937c-23aa3926255e Response:
5537,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = , id = 4fb054ae-e723-446d-937c-23aa3926255e, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 1b7867fd876a7430, seq_num = 0, span_id = 7e617726749213af, task_async_parent = a0c8a513-0aa8-403b-b850-5f5b1da9302f, task_cancel_restart = 1, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 3000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.demuxer.setstat, trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)",ec6c9525,"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = <*> id = <*> owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = <*> seq_num = <*> span_id = <*> task_async_parent = <*> task_cancel_restart = 1, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = <*> task_priority = 3000, task_receive_time = 1551293655, task_stunned = 0, task_type = <*> trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)"
5538,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2220 Task com.simplivity.task.hive.delete.counters.one:hive_id = da20b066-d4f3-4ce7-81f1-68983f2492b0, task_priority = 1000 created with id fbd81304-8444-4712-83a7-ef2ec67a232d",75f369c7,"taskmanagerservice.cpp:2220 Task com.simplivity.task.hive.delete.counters.one:hive_id = da20b066-d4f3-4ce7-81f1-68983f2492b0, task_priority = 1000 created with id <*>"
5539,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:2220 Task com.simplivity.task.hive.delete.counters.one:hive_id = da20b066-d4f3-4ce7-81f1-68983f2492b0, task_priority = 1000 created with id 975671f2-8ff2-4238-9c5c-cb26facf0373",75f369c7,"taskmanagerservice.cpp:2220 Task com.simplivity.task.hive.delete.counters.one:hive_id = da20b066-d4f3-4ce7-81f1-68983f2492b0, task_priority = 1000 created with id <*>"
5540,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1621 Processing request task_request[follows_span_id = 8a0f46f5d7b3475e, id = 975671f2-8ff2-4238-9c5c-cb26facf0373, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 4a0d8eb9d7ec49b2, seq_num = 1, span_id = ce93397cde601d22, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 420c8608-b03f-4c85-a41f-3b6d8aab796a, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.one, trace_id = 3875feddfd2488a107dbfc81cb840ed9]",14b83469,"taskmanagerservice.cpp:1621 Processing request task_request[follows_span_id = 8a0f46f5d7b3475e, id = 975671f2-8ff2-4238-9c5c-cb26facf0373, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 4a0d8eb9d7ec49b2, seq_num = 1, span_id = ce93397cde601d22, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 420c8608-b03f-4c85-a41f-3b6d8aab796a, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.one, trace_id = 3875feddfd2488a107dbfc81cb840ed9]"
5541,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1661 Task 975671f2-8ff2-4238-9c5c-cb26facf0373 Response:,d6ed728a,taskmanagerservice.cpp:1661 Task 975671f2-8ff2-4238-9c5c-cb26facf0373 Response:
5542,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = 8a0f46f5d7b3475e, id = 975671f2-8ff2-4238-9c5c-cb26facf0373, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 4a0d8eb9d7ec49b2, seq_num = 1, span_id = ce93397cde601d22, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 420c8608-b03f-4c85-a41f-3b6d8aab796a, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.one, trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)",1ff83eff,"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = 8a0f46f5d7b3475e, id = 975671f2-8ff2-4238-9c5c-cb26facf0373, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 4a0d8eb9d7ec49b2, seq_num = 1, span_id = ce93397cde601d22, task_async_parent = 00000000-0000-0000-0000-000000000000, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 420c8608-b03f-4c85-a41f-3b6d8aab796a, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.one, trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)"
5543,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1621 Processing request task_request[follows_span_id = , id = 420c8608-b03f-4c85-a41f-3b6d8aab796a, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 1b7867fd876a7430, seq_num = 0, span_id = 4a0d8eb9d7ec49b2, task_async_parent = a0c8a513-0aa8-403b-b850-5f5b1da9302f, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.everywhere, trace_id = 3875feddfd2488a107dbfc81cb840ed9]",eb604d3c,"taskmanagerservice.cpp:1621 Processing request task_request[follows_span_id = , id = 420c8608-b03f-4c85-a41f-3b6d8aab796a, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 1b7867fd876a7430, seq_num = 0, span_id = 4a0d8eb9d7ec49b2, task_async_parent = a0c8a513-0aa8-403b-b850-5f5b1da9302f, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.everywhere, trace_id = 3875feddfd2488a107dbfc81cb840ed9]"
5544,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],taskmanagerservice.cpp:1661 Task 420c8608-b03f-4c85-a41f-3b6d8aab796a Response:,efd11e98,taskmanagerservice.cpp:1661 Task 420c8608-b03f-4c85-a41f-3b6d8aab796a Response:
5545,20190227,185415,INFO,[cfgdb.task.taskmanagerservice],"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = , id = 420c8608-b03f-4c85-a41f-3b6d8aab796a, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 1b7867fd876a7430, seq_num = 0, span_id = 4a0d8eb9d7ec49b2, task_async_parent = a0c8a513-0aa8-403b-b850-5f5b1da9302f, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.everywhere, trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)",c5a3eea2,"taskmanagerservice.cpp:1691 Task Request task_request[follows_span_id = , id = 420c8608-b03f-4c85-a41f-3b6d8aab796a, owner = a625d351-ee43-4269-9bd9-28325a20cd78, parent_span_id = 1b7867fd876a7430, seq_num = 0, span_id = 4a0d8eb9d7ec49b2, task_async_parent = a0c8a513-0aa8-403b-b850-5f5b1da9302f, task_cancel_restart = 0, task_destination = a625d351-ee43-4269-9bd9-28325a20cd78, task_feature_level = 1222, task_invisible = 1, task_parent = 00000000-0000-0000-0000-000000000000, task_priority = 1000, task_receive_time = 1551293655, task_stunned = 0, task_type = com.simplivity.task.hive.delete.counters.everywhere, trace_id = 3875feddfd2488a107dbfc81cb840ed9]: Successful (Result::done)"
